target_train_path,seed_index,seed,test_acc1,avg_auc,auc_I,auc_M,auc_P,auc_R
findings_final_0814_seed678668699_size3000,1,43277,72.42,0.8823368643450021,0.9715351696229357,0.7824967099308221,0.8593124725265123,0.9160031052997386
findings_final_0814_seed678668699_size3000,2,79280,72.99,0.8822536033648818,0.9714091485659628,0.7844036686051123,0.8581652594040756,0.9150363368843764
findings_final_0814_seed678668699_size3000,3,8463,73.32,0.8822453372578339,0.9713813113787367,0.7888998049350021,0.8519856723573173,0.9167145603602799
findings_final_0814_seed678668699_size3000,4,12650,73.41,0.8837513373718969,0.971263581180775,0.7904335568749732,0.8570412369448847,0.9162669744869549
findings_final_0814_seed1033059257_size2000,0,14942,71.74,0.8714133666610594,0.9668045310901183,0.7775088226739161,0.8325695311242455,0.9087705817559576
findings_final_0814_seed1033059257_size2000,1,43277,70.59,0.8594657396543082,0.9697048996866358,0.7527747436593705,0.808803046931058,0.9065802683401687
findings_final_0814_seed1033059257_size2000,2,79280,71.94,0.8733872275988513,0.9679482425288306,0.7747149386430067,0.8407439178258174,0.9101418113977506
findings_final_0814_seed1033059257_size2000,3,8463,72.73,0.8784116057187131,0.9690545948543614,0.7850762055281297,0.8461425109738943,0.9133731115184669
findings_final_0814_seed1033059257_size2000,4,12650,72.66,0.8777756120604951,0.96858839733977,0.786562279433152,0.8444868747690494,0.9114648967000092
findings_final_0814_seed238506806_size1000,0,14942,70.66,0.8568556964973426,0.966962233278041,0.7460988424245013,0.820845120913944,0.893516589372884
findings_final_0814_seed238506806_size1000,1,43277,70.96,0.8571498710029566,0.9657827706503189,0.7492819614711033,0.8184152547538646,0.8951194971365396
findings_final_0814_seed238506806_size1000,2,79280,71.85,0.8613053287703865,0.9669949696092283,0.7524335934877988,0.821554932360163,0.9042378196243563
findings_final_0814_seed238506806_size1000,3,8463,71.77,0.8620406937142168,0.9666840372724861,0.7533574571172281,0.8213821297097279,0.9067391507574248
findings_final_0814_seed238506806_size1000,4,12650,69.68,0.8527945243582484,0.9642134869061709,0.7488277997115723,0.792253690395466,0.9058831204197846
findings_final_0814_seed-972126700_size500,0,14942,68.31,0.8394894276034658,0.9602214131683765,0.723019907206828,0.7790136737142932,0.8957027163243656
findings_final_0814_seed-972126700_size500,1,43277,69.46,0.846463839653483,0.9616094034621422,0.732044317791189,0.797199340902025,0.8950022964585762
findings_final_0814_seed-972126700_size500,2,79280,69.29,0.8462566593236114,0.9613288709417752,0.7325358246327022,0.7973133616629832,0.8938485800569846
findings_final_0814_seed-972126700_size500,3,8463,67.94,0.8375033222806945,0.9549379502062062,0.7262577014061359,0.7919447231215986,0.8768729143888372
findings_final_0814_seed-972126700_size500,4,12650,67.79,0.8430117438648173,0.9573496605973558,0.7354502055403341,0.7976089620962298,0.8816381472253496
findings_final_0814_seed-1133351443_size400,0,14942,68.02,0.835159953667234,0.9568702479559767,0.7131625955238787,0.7707867859278732,0.8998201852612068
findings_final_0814_seed-1133351443_size400,1,43277,66.37,0.8275472200802505,0.9494150824091289,0.7027792389007201,0.7647007667654605,0.8932937922456927
findings_final_0814_seed-1133351443_size400,2,79280,68.06,0.8398187928630924,0.9553757829334527,0.7197962699667027,0.7826829519878383,0.9014201665643761
findings_final_0814_seed-1133351443_size400,3,8463,67.87,0.8400605593202349,0.9575729108190987,0.7200554887710497,0.7827487393901709,0.8998650983006207
findings_final_0814_seed-1133351443_size400,4,12650,68.4,0.8379116012347056,0.9578033966996149,0.7192662789775258,0.775035065812767,0.8995416634489148
findings_final_0814_seed-1227021050_size300,0,14942,67.88,0.8338871004489423,0.95757039843758,0.7326562401475903,0.7621656568662762,0.8831561063443225
findings_final_0814_seed-1227021050_size300,1,43277,65.02,0.8123124188722771,0.9477390224504403,0.7064971899656449,0.7421625824929337,0.8528508805800895
findings_final_0814_seed-1227021050_size300,2,79280,64.79,0.807478626709643,0.947762060988966,0.7063803950523868,0.7275639794566154,0.8482080713406036
findings_final_0814_seed-1227021050_size300,3,8463,66.38,0.8186605523602724,0.9510573005887616,0.7166230363829783,0.7442420119639664,0.8627198605053834
findings_final_0814_seed-1227021050_size300,4,12650,66.39,0.8199189794266879,0.9493798588202379,0.7172795043437048,0.7466667246433247,0.8663498298994842
findings_final_0814_seed756906437_size200,0,14942,57.59,0.7895329463615295,0.9406950081391113,0.6337091436463527,0.7080848691309807,0.8756427645296732
findings_final_0814_seed756906437_size200,1,43277,58.97,0.8073202485705112,0.9485998899777885,0.6492290762787538,0.758685567701397,0.8727664603241055
findings_final_0814_seed756906437_size200,2,79280,56.9,0.8024194524540256,0.941818545154229,0.6451585437045263,0.7513749124210238,0.8713258085363227
findings_final_0814_seed756906437_size200,3,8463,57.21,0.8001130355470328,0.9463195017686161,0.6373186393860436,0.7447072746453338,0.872106726388138
findings_final_0814_seed756906437_size200,4,12650,57.89,0.797840295190414,0.9454360228076004,0.6298464498780589,0.7385127102952291,0.8775659977807675
findings_final_0814_seed-1331694080_size100,0,14942,61.13,0.8013539201165758,0.9421416876651514,0.6757379416676328,0.7259119265313346,0.8616241246021843
findings_final_0814_seed-1331694080_size100,1,43277,63.86,0.7946430433443986,0.9400404825058856,0.6512738212195732,0.7258229082041883,0.8614349614479476
findings_final_0814_seed-1331694080_size100,2,79280,63.33,0.7948770034191017,0.938505166159869,0.6579500479017799,0.7225913536994059,0.8604614459153521
findings_final_0814_seed-1331694080_size100,3,8463,60.34,0.802213821036763,0.9420721700685318,0.677825442252421,0.7276102399984025,0.8613474318276965
findings_final_0814_seed-1331694080_size100,4,12650,63.23,0.8009764035567657,0.9422932596421686,0.6707391519249193,0.7272306941955944,0.8636425084643805
findings_final_0814_seed-53154026_size50,0,14942,43.74,0.7010204760537222,0.8898251613602154,0.6060751254497784,0.5106782133623152,0.7975034040425799
findings_final_0814_seed-53154026_size50,1,43277,40.25,0.6973795127866912,0.8834209250025977,0.5996817938657245,0.5065375526490461,0.7998777796293963
findings_final_0814_seed-53154026_size50,2,79280,46.76,0.7120539684144509,0.8920867318318135,0.6039200131806172,0.5514691405950869,0.8007399880502863
findings_final_0814_seed-53154026_size50,3,8463,40.03,0.6951035176371703,0.8861266091552389,0.5981363258216019,0.5072883906331944,0.7888627449386459
findings_final_0814_seed-53154026_size50,4,12650,44.17,0.7064946766320077,0.8916482710091875,0.5977263435381414,0.5440689033256135,0.7925351886550882
