d_kl,source_train_path,source_seed,target_train_path,seed,validate_acc,test_acc
0,findings_final_0814_seed1591536269_size10000,79280,findings_final_0814_seed-53154026_size50,18807,80.0,67.6
0,findings_final_0814_seed1591536269_size10000,79280,findings_final_0814_seed-53154026_size50,44202,80.0,67.67
0,findings_final_0814_seed1591536269_size10000,79280,findings_final_0814_seed-53154026_size50,20252,80.0,67.82
0,findings_final_0814_seed1591536269_size10000,79280,findings_final_0814_seed-53154026_size50,18793,80.0,67.61
0,findings_final_0814_seed1591536269_size10000,79280,findings_final_0814_seed-53154026_size50,30005,80.0,67.61
1,findings_final_0814-portion1ita06round14_seed2016863826_size10000,43277,findings_final_0814_seed-53154026_size50,18807,60.0,58.29
1,findings_final_0814-portion1ita06round14_seed2016863826_size10000,43277,findings_final_0814_seed-53154026_size50,44202,60.0,58.47
1,findings_final_0814-portion1ita06round14_seed2016863826_size10000,43277,findings_final_0814_seed-53154026_size50,20252,60.0,58.44
1,findings_final_0814-portion1ita06round14_seed2016863826_size10000,43277,findings_final_0814_seed-53154026_size50,18793,60.0,58.52
