d_kl,source_train_path,source_seed,target_train_path,seed,validate_acc,test_acc
0,findings_final_0814_seed1591536269_size10000,79280,findings_final_0814_seed-1227021050_size300,18807,66.66666666666667,69.62
0,findings_final_0814_seed1591536269_size10000,79280,findings_final_0814_seed-1227021050_size300,44202,69.44444444444444,69.77
0,findings_final_0814_seed1591536269_size10000,79280,findings_final_0814_seed-1227021050_size300,20252,66.66666666666667,69.11
0,findings_final_0814_seed1591536269_size10000,79280,findings_final_0814_seed-1227021050_size300,18793,66.66666666666667,68.88
0,findings_final_0814_seed1591536269_size10000,79280,findings_final_0814_seed-1227021050_size300,30005,69.44444444444444,68.95
1,findings_final_0814-portion1ita06round14_seed2016863826_size10000,43277,findings_final_0814_seed-1227021050_size300,18807,69.44444444444444,67.55
1,findings_final_0814-portion1ita06round14_seed2016863826_size10000,43277,findings_final_0814_seed-1227021050_size300,44202,72.22222222222223,68.47
1,findings_final_0814-portion1ita06round14_seed2016863826_size10000,43277,findings_final_0814_seed-1227021050_size300,20252,72.22222222222223,66.9
1,findings_final_0814-portion1ita06round14_seed2016863826_size10000,43277,findings_final_0814_seed-1227021050_size300,18793,69.44444444444444,67.21
1,findings_final_0814-portion1ita06round14_seed2016863826_size10000,43277,findings_final_0814_seed-1227021050_size300,30005,66.66666666666667,68.07
5,findings_final_0814-portion1ita13round20_seed1708886178_size10000,79280,findings_final_0814_seed-1227021050_size300,18807,61.111111111111114,67.42
5,findings_final_0814-portion1ita13round20_seed1708886178_size10000,79280,findings_final_0814_seed-1227021050_size300,44202,63.888888888888886,67.6
5,findings_final_0814-portion1ita13round20_seed1708886178_size10000,79280,findings_final_0814_seed-1227021050_size300,20252,63.888888888888886,65.21
5,findings_final_0814-portion1ita13round20_seed1708886178_size10000,79280,findings_final_0814_seed-1227021050_size300,18793,63.888888888888886,65.63
5,findings_final_0814-portion1ita13round20_seed1708886178_size10000,79280,findings_final_0814_seed-1227021050_size300,30005,66.66666666666667,65.0
10,findings_final_0814-portion1ita16round14_seed1948253030_size10000,14942,findings_final_0814_seed-1227021050_size300,18807,66.66666666666667,67.68
10,findings_final_0814-portion1ita16round14_seed1948253030_size10000,14942,findings_final_0814_seed-1227021050_size300,44202,66.66666666666667,67.69
10,findings_final_0814-portion1ita16round14_seed1948253030_size10000,14942,findings_final_0814_seed-1227021050_size300,20252,66.66666666666667,66.94
10,findings_final_0814-portion1ita16round14_seed1948253030_size10000,14942,findings_final_0814_seed-1227021050_size300,18793,69.44444444444444,66.48
10,findings_final_0814-portion1ita16round14_seed1948253030_size10000,14942,findings_final_0814_seed-1227021050_size300,30005,66.66666666666667,65.91
15,findings_final_0814-portion1ita21round14_seed1879396416_size10000,14942,findings_final_0814_seed-1227021050_size300,18807,66.66666666666667,64.35
15,findings_final_0814-portion1ita21round14_seed1879396416_size10000,14942,findings_final_0814_seed-1227021050_size300,44202,69.44444444444444,65.02
15,findings_final_0814-portion1ita21round14_seed1879396416_size10000,14942,findings_final_0814_seed-1227021050_size300,20252,69.44444444444444,64.48
15,findings_final_0814-portion1ita21round14_seed1879396416_size10000,14942,findings_final_0814_seed-1227021050_size300,18793,69.44444444444444,64.53
15,findings_final_0814-portion1ita21round14_seed1879396416_size10000,14942,findings_final_0814_seed-1227021050_size300,30005,66.66666666666667,64.59
20,findings_final_0814-portion1ita27round9_seed1940262766_size10000,14942,findings_final_0814_seed-1227021050_size300,18807,63.888888888888886,66.94
20,findings_final_0814-portion1ita27round9_seed1940262766_size10000,14942,findings_final_0814_seed-1227021050_size300,44202,61.111111111111114,66.91
20,findings_final_0814-portion1ita27round9_seed1940262766_size10000,14942,findings_final_0814_seed-1227021050_size300,20252,63.888888888888886,66.65
20,findings_final_0814-portion1ita27round9_seed1940262766_size10000,14942,findings_final_0814_seed-1227021050_size300,18793,63.888888888888886,66.0
20,findings_final_0814-portion1ita27round9_seed1940262766_size10000,14942,findings_final_0814_seed-1227021050_size300,30005,63.888888888888886,66.44
