d_kl,source_train_path,source_seed,target_train_path,seed,validate_acc,test_acc
0,findings_final_0814_seed1591536269_size10000,79280,findings_final_0814_seed-1133351443_size400,18807,77.55101994105748,70.63
0,findings_final_0814_seed1591536269_size10000,79280,findings_final_0814_seed-1133351443_size400,44202,75.51020299171915,70.17
0,findings_final_0814_seed1591536269_size10000,79280,findings_final_0814_seed-1133351443_size400,20252,77.5510205638652,70.62
0,findings_final_0814_seed1591536269_size10000,79280,findings_final_0814_seed-1133351443_size400,18793,75.51020361452686,70.44
0,findings_final_0814_seed1591536269_size10000,79280,findings_final_0814_seed-1133351443_size400,30005,77.55101994105748,70.73
1,findings_final_0814-portion1ita06round14_seed2016863826_size10000,43277,findings_final_0814_seed-1133351443_size400,18807,75.51020361452686,70.16
1,findings_final_0814-portion1ita06round14_seed2016863826_size10000,43277,findings_final_0814_seed-1133351443_size400,44202,79.59183626758809,69.78
1,findings_final_0814-portion1ita06round14_seed2016863826_size10000,43277,findings_final_0814_seed-1133351443_size400,20252,73.46938791080397,67.59
1,findings_final_0814-portion1ita06round14_seed2016863826_size10000,43277,findings_final_0814_seed-1133351443_size400,18793,75.51020361452686,69.49
1,findings_final_0814-portion1ita06round14_seed2016863826_size10000,43277,findings_final_0814_seed-1133351443_size400,30005,77.5510205638652,70.26
5,findings_final_0814-portion1ita13round20_seed1708886178_size10000,79280,findings_final_0814_seed-1133351443_size400,18807,75.51020361452686,66.64
5,findings_final_0814-portion1ita13round20_seed1708886178_size10000,79280,findings_final_0814_seed-1133351443_size400,44202,75.51020299171915,67.94
5,findings_final_0814-portion1ita13round20_seed1708886178_size10000,79280,findings_final_0814_seed-1133351443_size400,20252,73.46938666518854,69.04
5,findings_final_0814-portion1ita13round20_seed1708886178_size10000,79280,findings_final_0814_seed-1133351443_size400,18793,73.46938791080397,65.51
5,findings_final_0814-portion1ita13round20_seed1708886178_size10000,79280,findings_final_0814_seed-1133351443_size400,30005,75.51020299171915,68.88
10,findings_final_0814-portion1ita16round14_seed1948253030_size10000,14942,findings_final_0814_seed-1133351443_size400,18807,75.51020299171915,69.75
10,findings_final_0814-portion1ita16round14_seed1948253030_size10000,14942,findings_final_0814_seed-1133351443_size400,44202,75.51020299171915,68.85
10,findings_final_0814-portion1ita16round14_seed1948253030_size10000,14942,findings_final_0814_seed-1133351443_size400,20252,75.51020299171915,68.98
10,findings_final_0814-portion1ita16round14_seed1948253030_size10000,14942,findings_final_0814_seed-1133351443_size400,18793,79.59183689039581,69.02
10,findings_final_0814-portion1ita16round14_seed1948253030_size10000,14942,findings_final_0814_seed-1133351443_size400,30005,77.55101931824976,69.32
15,findings_final_0814-portion1ita21round14_seed1879396416_size10000,14942,findings_final_0814_seed-1133351443_size400,18807,75.51020423733458,66.19
15,findings_final_0814-portion1ita21round14_seed1879396416_size10000,14942,findings_final_0814_seed-1133351443_size400,44202,77.55101994105748,68.54
15,findings_final_0814-portion1ita21round14_seed1879396416_size10000,14942,findings_final_0814_seed-1133351443_size400,20252,75.51020361452686,68.31
15,findings_final_0814-portion1ita21round14_seed1879396416_size10000,14942,findings_final_0814_seed-1133351443_size400,18793,77.55101994105748,68.46
15,findings_final_0814-portion1ita21round14_seed1879396416_size10000,14942,findings_final_0814_seed-1133351443_size400,30005,71.42857158427336,66.36
20,findings_final_0814-portion1ita27round9_seed1940262766_size10000,14942,findings_final_0814_seed-1133351443_size400,18807,77.55101994105748,68.89
20,findings_final_0814-portion1ita27round9_seed1940262766_size10000,14942,findings_final_0814_seed-1133351443_size400,44202,77.55101994105748,68.5
20,findings_final_0814-portion1ita27round9_seed1940262766_size10000,14942,findings_final_0814_seed-1133351443_size400,20252,73.46938728799626,68.77
20,findings_final_0814-portion1ita27round9_seed1940262766_size10000,14942,findings_final_0814_seed-1133351443_size400,18793,75.51020299171915,68.42
20,findings_final_0814-portion1ita27round9_seed1940262766_size10000,14942,findings_final_0814_seed-1133351443_size400,30005,77.55101994105748,68.23
