d_kl,source_train_path,source_seed,target_train_path,seed,validate_acc,test_acc
0,findings_final_0814_seed1591536269_size10000,79280,findings_final_0814_seed-53154026_size50,18807,60.0,65.66
0,findings_final_0814_seed1591536269_size10000,79280,findings_final_0814_seed-53154026_size50,44202,60.0,65.57
0,findings_final_0814_seed1591536269_size10000,79280,findings_final_0814_seed-53154026_size50,20252,60.0,65.87
0,findings_final_0814_seed1591536269_size10000,79280,findings_final_0814_seed-53154026_size50,18793,60.0,64.89
0,findings_final_0814_seed1591536269_size10000,79280,findings_final_0814_seed-53154026_size50,30005,60.0,65.49
1,findings_final_0814-portion1ita06round14_seed2016863826_size10000,43277,findings_final_0814_seed-53154026_size50,18807,80.0,63.46
1,findings_final_0814-portion1ita06round14_seed2016863826_size10000,43277,findings_final_0814_seed-53154026_size50,44202,80.0,63.38
1,findings_final_0814-portion1ita06round14_seed2016863826_size10000,43277,findings_final_0814_seed-53154026_size50,20252,80.0,63.35
1,findings_final_0814-portion1ita06round14_seed2016863826_size10000,43277,findings_final_0814_seed-53154026_size50,18793,80.0,63.06
1,findings_final_0814-portion1ita06round14_seed2016863826_size10000,43277,findings_final_0814_seed-53154026_size50,30005,80.0,63.06
5,findings_final_0814-portion1ita13round20_seed1708886178_size10000,79280,findings_final_0814_seed-53154026_size50,18807,60.0,59.32
5,findings_final_0814-portion1ita13round20_seed1708886178_size10000,79280,findings_final_0814_seed-53154026_size50,44202,60.0,59.83
5,findings_final_0814-portion1ita13round20_seed1708886178_size10000,79280,findings_final_0814_seed-53154026_size50,20252,60.0,59.83
5,findings_final_0814-portion1ita13round20_seed1708886178_size10000,79280,findings_final_0814_seed-53154026_size50,18793,60.0,60.19
5,findings_final_0814-portion1ita13round20_seed1708886178_size10000,79280,findings_final_0814_seed-53154026_size50,30005,60.0,59.54
10,findings_final_0814-portion1ita16round14_seed1948253030_size10000,14942,findings_final_0814_seed-53154026_size50,18807,60.0,51.68
10,findings_final_0814-portion1ita16round14_seed1948253030_size10000,14942,findings_final_0814_seed-53154026_size50,44202,60.0,51.4
10,findings_final_0814-portion1ita16round14_seed1948253030_size10000,14942,findings_final_0814_seed-53154026_size50,20252,60.0,50.75
10,findings_final_0814-portion1ita16round14_seed1948253030_size10000,14942,findings_final_0814_seed-53154026_size50,18793,60.0,51.59
10,findings_final_0814-portion1ita16round14_seed1948253030_size10000,14942,findings_final_0814_seed-53154026_size50,30005,60.0,49.99
15,findings_final_0814-portion1ita21round14_seed1879396416_size10000,14942,findings_final_0814_seed-53154026_size50,18807,60.0,45.51
15,findings_final_0814-portion1ita21round14_seed1879396416_size10000,14942,findings_final_0814_seed-53154026_size50,44202,60.0,45.33
15,findings_final_0814-portion1ita21round14_seed1879396416_size10000,14942,findings_final_0814_seed-53154026_size50,20252,60.0,45.11
15,findings_final_0814-portion1ita21round14_seed1879396416_size10000,14942,findings_final_0814_seed-53154026_size50,18793,60.0,45.49
15,findings_final_0814-portion1ita21round14_seed1879396416_size10000,14942,findings_final_0814_seed-53154026_size50,30005,60.0,46.05
20,findings_final_0814-portion1ita27round9_seed1940262766_size10000,14942,findings_final_0814_seed-53154026_size50,18807,60.0,56.24
20,findings_final_0814-portion1ita27round9_seed1940262766_size10000,14942,findings_final_0814_seed-53154026_size50,44202,60.0,57.03
20,findings_final_0814-portion1ita27round9_seed1940262766_size10000,14942,findings_final_0814_seed-53154026_size50,20252,60.0,56.17
20,findings_final_0814-portion1ita27round9_seed1940262766_size10000,14942,findings_final_0814_seed-53154026_size50,18793,60.0,55.92
20,findings_final_0814-portion1ita27round9_seed1940262766_size10000,14942,findings_final_0814_seed-53154026_size50,30005,60.0,56.75
