y_true,p0,p1,p2,p3,prediction,correct
0,0.06329761445522308,0.2412896454334259,0.4339507520198822,0.2614619731903076,2,0
3,0.0016655741492286325,0.13463930785655975,0.05932309105992317,0.8043720722198486,3,1
2,0.055929768830537796,0.17084886133670807,0.4208354353904724,0.35238587856292725,2,1
3,0.0023586314637213945,0.15024536848068237,0.030504684895277023,0.8168913125991821,3,1
3,0.004371265880763531,0.17472070455551147,0.06965745240449905,0.7512505650520325,3,1
1,0.5644659996032715,0.18604858219623566,0.18118856847286224,0.06829684972763062,0,0
3,0.0019818590953946114,0.291056752204895,0.04230861738324165,0.6646527647972107,3,1
2,0.21513301134109497,0.10230309516191483,0.5995054244995117,0.08305845409631729,2,1
1,0.055210717022418976,0.5255695581436157,0.15431302785873413,0.26490676403045654,1,1
0,0.7325451970100403,0.08098150044679642,0.17237521708011627,0.014098123647272587,0,1
0,0.9710316061973572,0.008766108192503452,0.01952318847179413,0.0006791345658712089,0,1
0,0.9543938040733337,0.02225410006940365,0.021532971411943436,0.0018191426061093807,0,1
3,0.013473385013639927,0.1527000367641449,0.11801540106534958,0.7158111333847046,3,1
1,0.5799405574798584,0.06850619614124298,0.32187050580978394,0.029682647436857224,0,0
3,0.18510040640830994,0.2013266533613205,0.3990047872066498,0.2145681083202362,2,0
0,0.5423886179924011,0.1371518075466156,0.2752191126346588,0.04524053633213043,0,1
3,0.0013549376744776964,0.1657911241054535,0.03681273013353348,0.7960411906242371,3,1
2,0.8383190035820007,0.06693389266729355,0.07501473277807236,0.019732387736439705,0,0
1,0.037409741431474686,0.1229020208120346,0.22973689436912537,0.609951376914978,3,0
3,4.3180767534067854e-05,0.02705010585486889,0.00956457108259201,0.9633421301841736,3,1
3,9.988180681830272e-05,0.04218428209424019,0.010916837491095066,0.9467990398406982,3,1
3,0.0028475611470639706,0.16266724467277527,0.06310023367404938,0.7713849544525146,3,1
0,0.8759239315986633,0.029222367331385612,0.09088805317878723,0.003965630196034908,0,1
2,0.962863028049469,0.009521353989839554,0.027130521833896637,0.0004852189449593425,0,0
3,0.0027265993412584066,0.10935036092996597,0.07680277526378632,0.8111202716827393,3,1
3,0.0031647158320993185,0.14765998721122742,0.14363141357898712,0.7055438160896301,3,1
3,0.0012122124899178743,0.16022880375385284,0.04777665063738823,0.7907823324203491,3,1
0,0.11836252361536026,0.19769516587257385,0.3881343603134155,0.29580795764923096,2,0
0,0.9845106601715088,0.004592397250235081,0.010566861368715763,0.00033002314739860594,0,1
3,0.06628295034170151,0.17087985575199127,0.2913421094417572,0.4714950919151306,3,1
2,0.0020420707296580076,0.2297736257314682,0.04631775617599487,0.7218666076660156,3,0
3,0.005730044562369585,0.14041545987129211,0.16332943737506866,0.6905250549316406,3,1
1,0.14995938539505005,0.33386242389678955,0.2691495716571808,0.24702860414981842,1,1
0,0.31902456283569336,0.1172826960682869,0.44289666414260864,0.12079604715108871,2,0
3,6.778336228308035e-06,0.015250851400196552,0.0025787404738366604,0.9821635484695435,3,1
3,0.0072475760243833065,0.07821819186210632,0.06265143305063248,0.8518827557563782,3,1
2,0.44000208377838135,0.39791277050971985,0.08520419150590897,0.07688096165657043,0,0
