y_true,p0,p1,p2,p3,prediction,correct
0,0.039402738213539124,0.25520578026771545,0.6051645874977112,0.10022693127393723,2,0
3,1.346560111414874e-05,0.16570711135864258,0.00852503813803196,0.8257544040679932,3,1
2,0.037098489701747894,0.3848569989204407,0.25910815596580505,0.3189363181591034,1,0
3,0.002037385478615761,0.3163469433784485,0.3608059287071228,0.3208097517490387,2,0
3,0.005480253137648106,0.5129686594009399,0.2541337311267853,0.22741732001304626,1,0
1,0.04577278718352318,0.14328138530254364,0.797531008720398,0.013414837419986725,2,0
3,1.892300133476965e-05,0.2677011489868164,0.00595665629953146,0.7263232469558716,3,1
2,0.03778015822172165,0.2404484748840332,0.5167393684387207,0.20503202080726624,2,1
1,0.00019907057867385447,0.4461366832256317,0.014339190907776356,0.5393249988555908,3,0
0,0.08491180092096329,0.19566278159618378,0.7154985666275024,0.0039268312975764275,2,0
0,0.8383002281188965,0.0761210173368454,0.08321244269609451,0.0023663435131311417,0,1
0,0.6632118821144104,0.03156198188662529,0.3023782968521118,0.0028479264583438635,0,1
3,0.0020360711496323347,0.5435419082641602,0.1584186553955078,0.2960033714771271,1,0
1,0.2169855535030365,0.21914906799793243,0.5495383143424988,0.014327134005725384,2,0
3,0.14852534234523773,0.14910346269607544,0.6917437314987183,0.010627487674355507,2,0
0,0.5786523818969727,0.03554408997297287,0.3478453457355499,0.03795813396573067,0,1
3,0.0006751067703589797,0.09604866057634354,0.07638899236917496,0.8268872499465942,3,1
2,0.6992265582084656,0.03522535040974617,0.2527136206626892,0.012834376655519009,0,0
1,0.002198997186496854,0.22050586342811584,0.1075780913233757,0.6697170734405518,3,0
3,1.3594560186902527e-05,0.017274556681513786,0.003150659380480647,0.9795611500740051,3,1
3,7.186256425484316e-07,0.07062248885631561,0.0008540705312043428,0.9285227656364441,3,1
3,1.9669983885250986e-05,0.10485775023698807,0.0040643601678311825,0.8910582065582275,3,1
0,0.8725988864898682,0.010043738409876823,0.11696016043424606,0.0003972396079916507,0,1
2,0.2646122872829437,0.0369049608707428,0.6981235146522522,0.0003592965076677501,2,1
3,8.188993524527177e-05,0.2456640750169754,0.031678371131420135,0.7225756049156189,3,1
3,0.0006037420243956149,0.6251341104507446,0.14722423255443573,0.22703790664672852,1,0
3,0.0006973097333684564,0.24206368625164032,0.06545626372098923,0.6917826533317566,3,1
0,0.019671330228447914,0.11515793204307556,0.47392016649246216,0.3912505507469177,2,0
0,0.8842549324035645,0.008801919408142567,0.1063564196228981,0.0005867680301889777,0,1
3,0.0009559526806697249,0.10528483241796494,0.038466405123472214,0.855292797088623,3,1
2,1.7858605133369565e-05,0.5610862970352173,0.01071386132389307,0.4281820058822632,1,0
3,0.00021745840786024928,0.006448323838412762,0.0048844111151993275,0.9884498119354248,3,1
1,0.001653611077927053,0.14776606857776642,0.059153083711862564,0.7914272546768188,3,0
0,0.05584322661161423,0.2505928575992584,0.22544364631175995,0.4681203067302704,3,0
3,6.255766749063696e-08,0.0019047607202082872,5.761233842349611e-05,0.9980376362800598,3,1
3,0.0003061712777707726,0.10514556616544724,0.032580792903900146,0.8619675040245056,3,1
2,0.22446654736995697,0.1829381138086319,0.576727569103241,0.015867818146944046,2,1
3,1.0119241778738797e-05,0.3932655453681946,0.00840554479509592,0.5983187556266785,3,1
3,0.007087667938321829,0.14316773414611816,0.48431795835494995,0.3654266595840454,2,0
1,0.09615904092788696,0.18979351222515106,0.7108636498451233,0.00318384962156415,2,0
2,0.2512468099594116,0.25213298201560974,0.4854227602481842,0.011197501793503761,2,1
3,4.058987315147533e-07,0.0050862194038927555,0.00013246404705569148,0.9947808384895325,3,1
