y_true,p0,p1,p2,p3,prediction,correct
0,0.0829547792673111,0.008000568486750126,0.8925449848175049,0.016499675810337067,2,0
3,0.324893981218338,0.008261085487902164,0.5138649344444275,0.15297996997833252,2,0
2,0.018647009506821632,0.05045105889439583,0.9220139980316162,0.008887836709618568,2,1
3,0.007837468758225441,0.1476675420999527,0.8090885281562805,0.03540642559528351,2,0
3,0.027176866307854652,0.002269457560032606,0.9691300988197327,0.001423582318238914,2,0
1,0.2966451942920685,0.0633358433842659,0.45898404717445374,0.18103496730327606,2,0
3,0.04457002505660057,0.015062697231769562,0.9320191740989685,0.008348150178790092,2,0
2,0.2711960971355438,0.009197414852678776,0.7158078551292419,0.0037986114621162415,2,1
1,0.013362422585487366,0.15406298637390137,0.05473592132329941,0.7778386473655701,3,0
0,0.6014858484268188,0.04034309461712837,0.3216076195240021,0.03656342998147011,0,1
0,0.439924955368042,0.008309411816298962,0.5255435109138489,0.026222100481390953,2,0
0,0.279534250497818,0.022532280534505844,0.6706763505935669,0.027257118374109268,2,0
3,0.130624920129776,0.07090744376182556,0.7337092757225037,0.06475835293531418,2,0
1,0.0028904539067298174,0.0018725711852312088,0.000674848270136863,0.9945620894432068,3,0
3,0.07528554648160934,0.2068987637758255,0.10481098294258118,0.613004744052887,3,1
0,0.029200688004493713,0.08497161418199539,0.04180770367383957,0.8440199494361877,3,0
3,0.009365136735141277,0.10544966906309128,0.8714777827262878,0.013707393780350685,2,0
2,0.041119277477264404,0.01037510298192501,0.9463425278663635,0.0021630553528666496,2,1
1,0.0050699710845947266,0.1987742781639099,0.7721219658851624,0.024033837020397186,2,0
3,0.008159777149558067,0.07546664774417877,0.12287244200706482,0.793501079082489,3,1
3,0.11538992077112198,0.06778061389923096,0.6639460921287537,0.1528833955526352,2,0
3,0.013133659958839417,0.11627649515867233,0.31269896030426025,0.5578908920288086,3,1
0,0.06396191567182541,0.29440563917160034,0.5322733521461487,0.10935899615287781,2,0
2,0.5856782793998718,0.0032692733220756054,0.39518752694129944,0.015864955261349678,0,0
3,0.4311809539794922,0.008587593212723732,0.5117461085319519,0.04848535358905792,2,0
3,0.0962907075881958,0.2917402386665344,0.3440636694431305,0.26790547370910645,2,0
3,0.08835747838020325,0.007572955917567015,0.06436676532030106,0.839702844619751,3,1
0,0.05303690582513809,0.007363798096776009,0.9378076791763306,0.001791681512258947,2,0
0,0.26497262716293335,0.001325877383351326,0.7303472757339478,0.00335422670468688,2,0
3,0.13272662460803986,0.0272101778537035,0.802226185798645,0.03783699870109558,2,0
2,0.05017661303281784,0.0033312796149402857,0.0038902689702808857,0.9426018595695496,3,0
3,0.08681933581829071,0.01893029548227787,0.8764135241508484,0.017836803570389748,2,0
1,0.008098246529698372,0.09653688967227936,0.8906767964363098,0.004688043147325516,2,0
0,0.0599249005317688,0.17660585045814514,0.6190651059150696,0.14440414309501648,2,0
3,0.014574424363672733,0.017041048035025597,0.9574198126792908,0.010964703746140003,2,0
3,0.12227083742618561,0.015782924368977547,0.8400110006332397,0.02193528413772583,2,0
2,0.03507256880402565,0.0776214525103569,0.8340147733688354,0.05329129099845886,2,1
3,0.22588509321212769,0.014624991454184055,0.7182924747467041,0.04119746759533882,2,0
3,0.061113689094781876,0.012137356214225292,0.8914830088615417,0.0352659747004509,2,0
1,0.16280227899551392,0.19698920845985413,0.3960804343223572,0.2441280633211136,2,0
2,0.020645709708333015,0.018237020820379257,0.9599117040634155,0.0012055328115820885,2,1
3,0.16288244724273682,0.02285737730562687,0.8075976371765137,0.006662594620138407,2,0
2,0.5025078654289246,0.020236263051629066,0.4665030837059021,0.010752762667834759,0,0
1,0.02341938018798828,0.02131660468876362,0.010529563762247562,0.9447344541549683,3,0
3,0.21634407341480255,0.008109054528176785,0.7448110580444336,0.030735831707715988,2,0
0,0.15731506049633026,0.009579827077686787,0.7717222571372986,0.061382781714200974,2,0
3,0.03654797375202179,0.07084435969591141,0.8713275790214539,0.021280022338032722,2,0
3,0.006115791387856007,0.019184671342372894,0.9714947938919067,0.003204772714525461,2,0
2,0.11364687234163284,0.036191873252391815,0.19971351325511932,0.6504477262496948,3,0
3,0.16594865918159485,0.007238883059471846,0.8013826012611389,0.025429803878068924,2,0
2,0.015189288184046745,0.05732949078083038,0.9215651750564575,0.005915970075875521,2,1
0,0.2232189029455185,0.06172928959131241,0.6578325033187866,0.057219248265028,2,0
3,0.01732758991420269,0.21060389280319214,0.10303620249032974,0.6690322756767273,3,1
0,0.35095900297164917,0.014523136429488659,0.4822395443916321,0.15227839350700378,2,0
3,0.7702383995056152,0.0009421119466423988,0.1030397042632103,0.12577982246875763,0,0
0,0.04800212383270264,0.00399312749505043,0.9475460648536682,0.00045870631583966315,2,0
1,0.21775105595588684,0.07397014647722244,0.4783838391304016,0.2298949658870697,2,0
3,0.006057183723896742,0.040259916335344315,0.9500854015350342,0.00359758990816772,2,0
3,0.017073607072234154,0.12137607485055923,0.785255491733551,0.07629484683275223,2,0
3,0.8462842106819153,0.0002483925491105765,0.005832756869494915,0.14763467013835907,0,0
3,0.8057429194450378,0.0009249686845578253,0.16632266342639923,0.027009405195713043,0,0
1,0.30133405327796936,0.020548533648252487,0.343712717294693,0.33440467715263367,2,0
0,0.9345002770423889,1.4465644198935479e-05,0.0009426508913747966,0.06454256176948547,0,1
0,0.08121009171009064,0.02453998290002346,0.11678657680749893,0.7774633765220642,3,0
0,0.029821570962667465,0.07180275022983551,0.26896706223487854,0.629408597946167,3,0
3,0.013391053304076195,0.002698743948712945,0.9822607636451721,0.0016494006849825382,2,0
2,0.030525995418429375,0.13612224161624908,0.8069214820861816,0.026430346071720123,2,1
2,0.09080962091684341,0.006763051729649305,0.01128324493765831,0.8911441564559937,3,0
3,0.0018178318860009313,0.009992122650146484,0.9878405928611755,0.00034944951767101884,2,0
0,0.05456145852804184,0.18069754540920258,0.1922561228275299,0.5724849104881287,3,0
0,0.8424449563026428,0.0031625733245164156,0.11885391175746918,0.03553846850991249,0,1
0,0.675761342048645,0.035245731472969055,0.2679116427898407,0.021081263199448586,0,1
3,0.1543560028076172,0.03455057367682457,0.656963586807251,0.15412984788417816,2,0
1,0.16249921917915344,0.06057890132069588,0.7121134996414185,0.06480837613344193,2,0
3,0.024354703724384308,0.02978859841823578,0.037226129323244095,0.9086305499076843,3,1
3,0.053023893386125565,0.0822565034031868,0.7901355028152466,0.07458409667015076,2,0
3,0.0740080177783966,0.007691681385040283,0.9153308272361755,0.0029695278499275446,2,0
3,0.463295042514801,0.03549375385046005,0.3238268792629242,0.17738434672355652,0,0
0,0.6124318242073059,6.217173358891159e-05,0.38689813017845154,0.0006077906582504511,0,1
