y_true,p0,p1,p2,p3,prediction,correct
0,0.024284804239869118,0.005244866479188204,0.8572635054588318,0.11320678889751434,2,0
3,0.03252281993627548,0.0058310022577643394,0.9033774733543396,0.0582687072455883,2,0
2,0.007483035326004028,0.04114276170730591,0.925983726978302,0.025390397757291794,2,1
3,0.002365380059927702,0.3188866674900055,0.6377810835838318,0.040966976433992386,2,0
3,0.00026485530543141067,0.0019547876436263323,0.5375151634216309,0.46026524901390076,2,0
1,0.5601704120635986,0.004815757740288973,0.43476003408432007,0.0002538291155360639,0,0
3,0.00018213439034298062,0.0037713348865509033,0.1760038584470749,0.8200427293777466,3,1
2,0.6329540014266968,0.0010075372410938144,0.36522477865219116,0.0008136905962601304,0,0
1,4.841040208702907e-06,0.02152281627058983,0.008660809136927128,0.9698115587234497,3,0
0,0.625198483467102,0.006086510606110096,0.3661783039569855,0.002536680782213807,0,1
0,0.07247364521026611,0.0016631176695227623,0.7894958853721619,0.13636735081672668,2,0
0,0.5353161096572876,0.0033731500152498484,0.46060341596603394,0.000707391882315278,0,1
3,0.0013253014767542481,0.0008937650709412992,0.1839011311531067,0.8138797879219055,3,1
1,5.183405301067978e-05,0.007480683270841837,0.025137487798929214,0.9673299789428711,3,0
3,0.002238625893369317,0.04044238105416298,0.2181752473115921,0.7391437292098999,3,1
0,0.0003907119098585099,0.05658367648720741,0.05847971513867378,0.8845459222793579,3,0
3,0.00011421418457757682,0.4343598783016205,0.27995631098747253,0.28556960821151733,1,0
2,0.34425345063209534,0.01643475331366062,0.6392207741737366,9.100758325075731e-05,2,1
1,0.0007667099125683308,0.05600487440824509,0.8929725289344788,0.05025583133101463,2,0
3,2.7116220735479146e-06,0.0031968930270522833,0.005757822189480066,0.9910424947738647,3,1
3,9.628805855754763e-05,0.09339001029729843,0.09508347511291504,0.8114302158355713,3,1
3,1.9536528270691633e-06,0.01355889905244112,0.02421334758400917,0.9622258543968201,3,1
0,0.1810402125120163,0.2542150318622589,0.5613586902618408,0.0033860395196825266,2,0
2,0.20006383955478668,0.002410327550023794,0.7910987734794617,0.00642710505053401,2,1
3,0.0023989412002265453,0.00024176420993171632,0.09384288638830185,0.903516411781311,3,1
3,2.3992720343812834e-06,0.3221842646598816,0.009702117182314396,0.6681112051010132,3,1
3,3.6685163649963215e-05,0.00028890170506201684,0.01389982644468546,0.9857746362686157,3,1
0,0.004932077135890722,0.014002933166921139,0.9466947317123413,0.03437028080224991,2,0
0,0.4812867045402527,0.0010473246220499277,0.5169123411178589,0.0007536481134593487,2,0
3,0.005691091064363718,0.003797646379098296,0.9002897143363953,0.09022147953510284,2,0
2,9.309125061918166e-07,2.0991676137782633e-05,0.0008525117300450802,0.9991255402565002,3,0
3,0.004860931076109409,0.2362913340330124,0.6267282366752625,0.13211947679519653,2,0
1,0.0018894709646701813,0.2058456838130951,0.5606834888458252,0.23158134520053864,2,0
0,0.014390463009476662,0.05262632668018341,0.7701800465583801,0.16280312836170197,2,0
3,1.7282023691223003e-05,0.0018956350395455956,0.09950220584869385,0.8985849022865295,3,1
3,0.004733134992420673,0.006919930689036846,0.6944236159324646,0.2939233183860779,2,0
2,0.002137820003554225,0.01677180640399456,0.8440490961074829,0.13704131543636322,2,1
3,0.00015398049436043948,0.004521590191870928,0.17649438977241516,0.8188300132751465,3,1
3,0.0004349967057351023,0.003960044588893652,0.3613273501396179,0.6342775821685791,3,1
1,0.02364088036119938,0.3950185179710388,0.39453884959220886,0.18680179119110107,1,1
2,0.002861140761524439,0.01990486867725849,0.8014364242553711,0.17579758167266846,2,1
3,0.0030321895610541105,0.1806718409061432,0.4996500015258789,0.31664595007896423,2,0
2,0.3317358195781708,0.026478301733732224,0.6320935487747192,0.009692405350506306,2,1
1,9.419446541869547e-06,0.013139070011675358,0.005779167637228966,0.9810723662376404,3,0
3,0.025490662083029747,0.003261800156906247,0.9392305612564087,0.032016970217227936,2,0
0,0.23248225450515747,2.222445073130075e-05,0.7632931470870972,0.004202337935566902,2,0
3,7.550803729827749e-06,0.397420197725296,0.05449824780225754,0.5480740070343018,3,1
3,7.1715403464622796e-06,0.003474271623417735,0.0517793707549572,0.9447392225265503,3,1
2,0.0005633002729155123,0.0025286762975156307,0.12461158633232117,0.8722964525222778,3,0
3,0.000510486657731235,0.0027970001101493835,0.06936751306056976,0.9273250102996826,3,1
2,0.0026363739743828773,0.11548406630754471,0.7306978702545166,0.15118174254894257,2,1
0,0.14152731001377106,0.02387767657637596,0.8162088990211487,0.018386119976639748,2,0
3,1.1094857654825319e-07,0.0012285351986065507,0.0011534263612702489,0.9976179003715515,3,1
0,0.12773790955543518,0.023427436128258705,0.8394265174865723,0.009408094920217991,2,0
3,0.04000696912407875,0.0002005987334996462,0.7970832586288452,0.16270916163921356,2,0
0,0.021806830540299416,0.009287429042160511,0.9657431244850159,0.003162606619298458,2,0
1,0.006687026005238295,0.022944964468479156,0.8943154215812683,0.07605260610580444,2,0
3,1.8922757590189576e-05,0.5221588611602783,0.09417125582695007,0.3836510479450226,1,0
3,2.0142810171819292e-05,0.048147596418857574,0.1080339327454567,0.8437982797622681,3,1
3,0.02755742147564888,0.0013592829927802086,0.24861526489257812,0.7224680185317993,3,1
3,0.21017031371593475,0.0009625689126551151,0.7271588444709778,0.0617082417011261,2,0
1,7.411738624796271e-05,0.0002824508410412818,0.01770997978746891,0.9819334149360657,3,0
0,0.9735844135284424,3.225133696105331e-06,0.021418947726488113,0.004993375390768051,0,1
0,6.669792492175475e-05,0.0010602049296721816,0.03649745136499405,0.9623756408691406,3,0
0,3.917318827006966e-05,0.0009051866363734007,0.04974840581417084,0.9493072032928467,3,0
3,0.0011636598501354456,0.004227511119097471,0.8013620972633362,0.19324679672718048,2,0
2,0.014082003384828568,0.038518328219652176,0.7379543781280518,0.20944525301456451,2,1
2,0.003260162891820073,0.007085297256708145,0.281559556722641,0.7080950736999512,3,0
3,0.00018204851949121803,0.018605729565024376,0.7676391005516052,0.21357309818267822,2,0
0,0.006943146698176861,0.5479825139045715,0.4134250581264496,0.031649235635995865,1,0
0,0.9775390625,2.6157476895605214e-06,0.022439680993556976,1.86309298442211e-05,0,1
0,0.8022668361663818,0.02769908495247364,0.16987313330173492,0.00016095367027446628,0,1
3,0.016110505908727646,0.00885243620723486,0.6819632649421692,0.29307374358177185,2,0
1,0.08398458361625671,0.017005110159516335,0.8922608494758606,0.006749492604285479,2,0
3,6.455762559198774e-06,0.005759795196354389,0.016105519607663155,0.9781282544136047,3,1
3,0.00015734096814412624,0.0715196505188942,0.21225868165493011,0.7160642743110657,3,1
3,0.02828173153102398,0.004398248624056578,0.9510053396224976,0.01631469465792179,2,0
3,0.05842560902237892,0.005296019371598959,0.8860312700271606,0.05024711415171623,2,0
0,0.8990747332572937,9.454692190047354e-06,0.1009090319275856,6.854304956505075e-06,0,1
3,1.025018900691066e-05,0.13210752606391907,0.07147444784641266,0.7964078187942505,3,1
3,1.1322510545141995e-05,0.008334700018167496,0.03503827750682831,0.956615686416626,3,1
3,0.0003706829156726599,0.00018815830117091537,0.21028010547161102,0.7891610860824585,3,1
3,5.3202071285340935e-05,0.015064076520502567,0.09714020788669586,0.8877424597740173,3,1
0,0.8507869839668274,0.00011508401803439483,0.14801280200481415,0.0010851019760593772,0,1
0,0.7222060561180115,0.0013425614451989532,0.2715499997138977,0.004901359789073467,0,1
3,0.003328243037685752,0.005630480125546455,0.9452762007713318,0.04576506093144417,2,0
0,0.561730682849884,0.006523778662085533,0.43169209361076355,5.343840166460723e-05,0,1
3,0.0019232425838708878,0.04584592580795288,0.6517462134361267,0.3004845976829529,2,0
0,0.2919439673423767,7.498689228668809e-05,0.6814520955085754,0.02652895636856556,2,0
0,0.010201135650277138,0.00013242708519101143,0.9667530655860901,0.022913435474038124,2,0
1,6.989722169237211e-05,0.15986014902591705,0.0608571395277977,0.7792128324508667,3,0
2,0.23121686279773712,0.0004699124547187239,0.602227509021759,0.16608570516109467,2,1
3,0.004027126356959343,0.03661952540278435,0.9325657486915588,0.026787592098116875,2,0
2,0.00044263069867156446,0.28711622953414917,0.43679627776145935,0.27564480900764465,2,1
0,4.1132985643344e-05,0.1999039649963379,0.06251310557126999,0.7375417947769165,3,0
2,0.011779976077377796,0.1378757208585739,0.408879816532135,0.44146445393562317,3,0
0,0.020310405641794205,0.4802314043045044,0.4975539743900299,0.001904211239889264,2,0
3,2.4142227630363777e-05,0.04127999022603035,0.060150064527988434,0.8985458016395569,3,1
3,0.0002550942008383572,0.002145044971257448,0.2026880830526352,0.7949117422103882,3,1
0,0.0037856081034988165,0.2853814363479614,0.21204204857349396,0.4987909197807312,3,0
3,0.0017245366470888257,0.022547684609889984,0.47316882014274597,0.5025590062141418,3,1
3,1.133439564426908e-09,0.00411365507170558,0.00019132815941702574,0.9956949949264526,3,1
0,0.047965072095394135,0.028200197964906693,0.7528218626976013,0.17101290822029114,2,0
0,0.19021256268024445,0.013574195094406605,0.7763093113899231,0.01990390196442604,2,0
1,0.0015940145822241902,0.034283753484487534,0.7157844305038452,0.24833780527114868,2,0
1,0.00012906086340080947,0.380500853061676,0.09084713459014893,0.5285229086875916,3,0
0,0.7418757677078247,0.00015655353490728885,0.2367243766784668,0.02124333195388317,0,1
2,0.30256935954093933,0.006175491958856583,0.6898049712181091,0.0014501615660265088,2,1
0,0.04934956505894661,0.15435363352298737,0.6737639904022217,0.12253282964229584,2,0
1,0.0008069396135397255,0.03856142237782478,0.15705139935016632,0.8035802245140076,3,0
0,0.6768185496330261,0.0004017053870484233,0.32230421900749207,0.00047557431389577687,0,1
0,0.6045258045196533,0.07121826708316803,0.323680579662323,0.0005753395962528884,0,1
0,0.005206767935305834,0.3633057177066803,0.5318201780319214,0.09966730326414108,2,0
3,0.000833530502859503,0.04203119874000549,0.520910918712616,0.4362243711948395,2,0
1,0.007445450406521559,8.187157072825357e-05,0.20899388194084167,0.7834787964820862,3,0
2,0.0017427002312615514,0.008894787169992924,0.5595088601112366,0.429853618144989,2,1
3,0.0011528083123266697,0.005156400613486767,0.0683583915233612,0.9253323674201965,3,1
0,0.9712492823600769,2.8645197744481266e-05,0.028695065528154373,2.7104077162221074e-05,0,1
0,0.03709841147065163,0.175622820854187,0.7309675216674805,0.05631129443645477,2,0
3,2.039510718532256e-06,0.0021614106371998787,0.008496969938278198,0.9893395304679871,3,1
0,0.966439425945282,4.2562296584947035e-05,0.03344116359949112,7.692864164710045e-05,0,1
0,0.5602489709854126,0.0001343847980024293,0.43903711438179016,0.0005795966717414558,0,1
0,0.8350252509117126,0.0012458752607926726,0.16364939510822296,7.940390787553042e-05,0,1
2,0.034539978951215744,0.003930733073502779,0.8639795184135437,0.09754980355501175,2,1
2,7.663213909836486e-05,0.000877044745720923,0.0391179658472538,0.9599283933639526,3,0
3,4.7321454985649325e-06,0.00966040138155222,0.027677645906805992,0.9626571536064148,3,1
0,0.6682904958724976,0.0012464661849662662,0.3293505311012268,0.0011125286109745502,0,1
3,4.3335541704436764e-05,0.02884012460708618,0.029531089588999748,0.9415854215621948,3,1
0,0.7028266191482544,0.002103218110278249,0.2937481701374054,0.001322043826803565,0,1
1,0.01744997687637806,0.044847168028354645,0.9269722104072571,0.0107306819409132,2,0
2,0.0918111726641655,0.0017827796982601285,0.475650817155838,0.43075528740882874,2,1
3,0.023981459438800812,0.1741974949836731,0.6452140808105469,0.15660695731639862,2,0
3,0.00017675045819487423,0.15455612540245056,0.19719159603118896,0.648075520992279,3,1
2,0.0071091679856181145,0.3776891827583313,0.5713156461715698,0.043886054307222366,2,1
3,0.0004735511902254075,0.674235999584198,0.2889002859592438,0.03639011085033417,1,0
0,0.2661818563938141,0.001954574603587389,0.46900245547294617,0.26286110281944275,2,0
2,7.441749039571732e-05,0.11984383314847946,0.20681582391262054,0.6732659339904785,3,0
0,0.011958380229771137,0.36131080985069275,0.61237633228302,0.014354466460645199,2,0
1,0.001977795036509633,0.025300221517682076,0.7556536793708801,0.21706832945346832,2,0
0,0.8790813088417053,0.0001666770112933591,0.1207272857427597,2.4660495910211466e-05,0,1
1,1.286750648432644e-05,0.00014623890456277877,0.00552208861336112,0.9943187832832336,3,0
2,0.02198796533048153,0.008541880175471306,0.9536101222038269,0.015860024839639664,2,1
3,0.0027711635921150446,0.07753514498472214,0.9129782915115356,0.00671538058668375,2,0
1,0.25731542706489563,0.0034723798744380474,0.7193230390548706,0.01988913118839264,2,0
3,0.039700914174318314,0.012485230341553688,0.8983379602432251,0.04947589710354805,2,0
