y_true,p0,p1,p2,p3,prediction,correct
0,0.015512033365666866,0.32406678795814514,0.12668690085411072,0.5337342023849487,3,0
3,2.102769212797284e-05,0.7698583006858826,0.006293382029980421,0.22382724285125732,1,0
2,0.0015023157466202974,0.03516334667801857,0.029647648334503174,0.9336866736412048,3,0
3,0.003602449782192707,0.0028928613755851984,0.6743414402008057,0.3191632032394409,2,0
3,0.32978004217147827,0.5510358214378357,0.01774013414978981,0.1014440730214119,1,0
1,0.008320895954966545,0.2945999205112457,0.6927645802497864,0.004314615856856108,2,0
3,9.891072113532573e-05,0.781981348991394,0.0002177008573198691,0.21770212054252625,1,0
2,5.8240424550604075e-05,0.0053862822242081165,0.015805164352059364,0.9787503480911255,3,0
1,7.302991434698924e-05,0.30116477608680725,4.5838754886062816e-05,0.6987163424491882,3,0
0,0.10331783443689346,0.7811713218688965,0.11439954489469528,0.0011113317450508475,1,0
0,0.006767990533262491,0.7803252339363098,0.000476941087981686,0.21242979168891907,1,0
0,0.8789191842079163,0.014411763288080692,0.01693275384604931,0.08973627537488937,0,1
3,0.004345121793448925,0.29005593061447144,0.0704488530755043,0.6351500749588013,3,1
1,0.3357040584087372,0.07965464144945145,0.12136063724756241,0.46328064799308777,3,0
3,0.06511139124631882,0.014992752112448215,0.9138450026512146,0.0060509308241307735,2,0
0,0.3227563500404358,0.002258271211758256,0.02608395554125309,0.6489014029502869,3,0
3,0.0016494346782565117,0.0017229425720870495,0.00387564511038363,0.992751955986023,3,1
2,0.3332042098045349,0.10507192462682724,0.32944202423095703,0.2322819083929062,0,0
1,0.0013843165943399072,0.10226044803857803,0.0011472859187051654,0.895207941532135,3,0
3,0.00033690230338834226,0.000624616164714098,0.0042525166645646095,0.9947859644889832,3,1
3,9.022894118970726e-06,0.04474262893199921,0.0005354186869226396,0.9547129273414612,3,1
3,6.92728062858805e-05,0.007668178062886,7.642811397090554e-05,0.9921860694885254,3,1
0,0.6920134425163269,0.044938258826732635,0.17387604713439941,0.08917217701673508,0,1
2,9.081778262043372e-05,0.0007388548110611737,0.999028205871582,0.0001421349443262443,2,1
3,0.002551479497924447,0.15932972729206085,0.008554389700293541,0.8295643925666809,3,1
3,0.01789148896932602,0.3159719705581665,0.007120996713638306,0.6590155363082886,3,1
3,0.03037744201719761,0.6246185302734375,0.019838353618979454,0.3251657783985138,1,0
0,0.017773302271962166,0.0006509286467917264,0.9675999879837036,0.013975818641483784,2,0
0,0.38367414474487305,0.040710438042879105,0.32531335949897766,0.2503020763397217,0,1
3,0.00037627879646606743,0.007060070987790823,0.022652333602309227,0.9699113368988037,3,1
2,0.00019838773005176336,0.9392781853675842,0.002476782537996769,0.05804663524031639,1,0
3,0.0012278351932764053,0.0012188471155241132,0.00020919280359521508,0.9973441958427429,3,1
1,0.00020318916358519346,0.018783921375870705,4.4940858060726896e-05,0.9809679388999939,3,0
