y_true,p0,p1,p2,p3,prediction,correct
0,0.9950571060180664,0.003785125445574522,0.0011148214107379317,4.2948311602231115e-05,0,1
3,0.8826091885566711,0.0425490140914917,0.07437210530042648,0.00046964193461462855,0,0
2,0.9744807481765747,0.011416370049118996,0.013801325112581253,0.0003015256952494383,0,0
3,0.08029406517744064,0.9125688076019287,0.00472915917634964,0.0024080376606434584,1,0
3,0.00015284231631085277,0.024207990616559982,0.008077123202383518,0.9675620198249817,3,1
1,0.9970454573631287,0.0009898303542286158,0.001964543480426073,1.6239214062352403e-07,0,0
3,0.02014680579304695,0.48403000831604004,0.004067219328135252,0.4917559325695038,3,1
2,0.9997720122337341,7.2101397563528735e-06,0.0002170545340050012,3.8038529055484105e-06,0,0
1,0.09474402666091919,0.8268194794654846,0.004947323817759752,0.07348918914794922,1,1
0,0.9952900409698486,0.003283803816884756,0.0014196393312886357,6.540028152812738e-06,0,1
0,0.9854883551597595,0.0007151977624744177,0.00025258277310058475,0.013543862849473953,0,1
0,0.9964569211006165,0.003204737091436982,0.00033563710167072713,2.5675647066236706e-06,0,1
3,0.2654282748699188,0.0032985343132168055,0.0824841558933258,0.64878910779953,3,1
1,0.27028751373291016,0.7179171442985535,0.011617126874625683,0.0001781660394044593,1,1
3,0.921782910823822,0.050040777772665024,0.02331826649606228,0.004858023952692747,0,0
0,0.8044376373291016,0.19434469938278198,0.00099687569309026,0.0002208513324148953,0,1
3,0.0007904755184426904,0.9941585063934326,0.0005392348975874484,0.004511740989983082,1,0
2,0.9992382526397705,0.0006182951619848609,0.0001422666828148067,1.2477474911065656e-06,0,0
1,0.2919389009475708,0.6607582569122314,0.03144701570272446,0.015855833888053894,1,1
3,0.0002900930994655937,0.9828855991363525,0.0027255783788859844,0.01409872155636549,1,0
3,0.0038854123558849096,0.8799533843994141,0.009886770509183407,0.10627431422472,1,0
3,0.0011312054703012109,0.49475109577178955,0.003947186283767223,0.5001705288887024,3,1
0,0.9982749223709106,0.0013866812223568559,0.00033759704092517495,8.433754601355758e-07,0,1
2,0.9950750470161438,0.0007929016137495637,0.004112313035875559,1.986143433896359e-05,0,0
3,0.0143697839230299,0.0017337853787466884,0.0006732586189173162,0.9832231402397156,3,1
3,3.2813637517392635e-05,0.9597927927970886,0.0013465817319229245,0.03882785141468048,1,0
3,0.34513863921165466,0.5305196642875671,0.08640335500240326,0.03793834149837494,1,0
0,0.6993910074234009,0.2496434897184372,0.014528671279549599,0.036436777561903,0,1
0,0.9921919703483582,0.006991079077124596,0.0007616106304340065,5.537715696846135e-05,0,1
3,0.9917190074920654,0.0028263854328542948,0.004628830589354038,0.0008257304434664547,0,0
2,0.0011820230865851045,0.010080575942993164,0.001161997439339757,0.9875754117965698,3,0
3,0.19137439131736755,0.8041479587554932,0.003965015523135662,0.0005125946481712162,1,0
1,0.9774831533432007,0.017539752647280693,0.003087374847382307,0.0018898507114499807,0,0
0,0.9982600808143616,0.0014032830949872732,0.0003234368341509253,1.3152417523087934e-05,0,1
3,0.0005485073779709637,0.0499817356467247,0.005681278649717569,0.943788468837738,3,1
3,0.15241305530071259,0.06826072931289673,0.048623133450746536,0.7307030558586121,3,1
2,0.944229781627655,0.04948163777589798,0.002441585995256901,0.003847004845738411,0,0
3,0.001666259253397584,0.04322260990738869,0.0022179032675921917,0.9528932571411133,3,1
3,0.13094957172870636,0.45045316219329834,0.06169793754816055,0.35689932107925415,1,0
1,0.9115436673164368,0.0854533240199089,0.0025501451455056667,0.0004529111902229488,0,0
2,0.6541757583618164,0.03530509024858475,0.003911599982529879,0.30660760402679443,0,0
3,0.014323745854198933,0.4201809763908386,0.001994210761040449,0.5635010600090027,3,1
2,0.9979700446128845,0.00039211768307723105,0.0016071457648649812,3.072016261285171e-05,0,0
1,0.01198219507932663,0.980747640132904,0.0003204701642971486,0.006949761416763067,1,1
3,0.9803429245948792,0.004742629360407591,0.013066607527434826,0.0018478765850886703,0,0
0,0.9998430013656616,1.7061606740753632e-06,0.00015462037117686123,7.163540090004972e-07,0,1
3,3.062704490730539e-05,0.9204527735710144,7.006215309957042e-05,0.07944653183221817,1,0
3,0.00015922241436783224,0.004827411845326424,9.37502336455509e-05,0.9949195981025696,3,1
2,0.8737003803253174,0.11952156573534012,0.00229632668197155,0.004481740295886993,0,0
3,0.6033235192298889,0.06700848788022995,0.0028562818188220263,0.32681161165237427,0,0
2,0.9267600178718567,0.0685165524482727,0.003598845098167658,0.001124645583331585,0,0
0,0.9867258071899414,0.003891370724886656,0.007525519002228975,0.0018572979606688023,0,1
3,0.002394201001152396,0.057929448783397675,0.0013883967185392976,0.9382879734039307,3,1
0,0.9955850839614868,0.004232979379594326,0.00018084901967085898,1.0592842727419338e-06,0,1
3,0.9411128163337708,0.019070083275437355,0.028223799541592598,0.011593285016715527,0,0
0,0.9977715015411377,0.0017018200596794486,0.00015330803580582142,0.0003734030469786376,0,1
1,0.18127945065498352,0.6407190561294556,0.05240846797823906,0.12559296190738678,1,1
3,0.00016207509906962514,0.5278455018997192,0.00013377759023569524,0.4718586504459381,1,0
3,0.0014313652645796537,0.7678652405738831,0.007062910590320826,0.2236405909061432,1,0
3,0.9522982835769653,0.03037065640091896,0.006801054812967777,0.010529988445341587,0,0
3,0.8296027779579163,0.15410558879375458,0.010620093904435635,0.005671544466167688,0,0
1,0.00046094469144009054,0.02828369289636612,0.0005324194789864123,0.9707229137420654,3,0
0,0.9996113181114197,2.362404302402865e-05,0.0003570032131392509,8.05915169621585e-06,0,1
0,0.8535705804824829,0.017333829775452614,0.008619206957519054,0.12047644704580307,0,1
0,0.5761182904243469,0.09239689260721207,0.009908437728881836,0.32157644629478455,0,1
3,1.650247759243939e-05,0.0063405632972717285,0.0014561309944838285,0.9921867847442627,3,1
2,0.33624425530433655,0.2600058317184448,0.01715247519314289,0.3865974545478821,3,0
2,0.5047778487205505,0.15500187873840332,0.3399413824081421,0.0002789077116176486,0,0
3,0.003751588286831975,0.11126236617565155,0.014180966652929783,0.8708050847053528,3,1
0,0.21633103489875793,0.778975784778595,0.004625364672392607,6.787222810089588e-05,1,0
0,0.9999916553497314,8.918846106098499e-08,8.196235285140574e-06,7.169074667245923e-09,0,1
0,0.9999641180038452,1.3667163329955656e-05,2.2084383090259507e-05,7.223908227160791e-08,0,1
3,0.9985945820808411,0.0007080034702084959,0.000555052247364074,0.0001423083886038512,0,0
1,0.9937229752540588,0.0031410069204866886,0.003113243728876114,2.2719172193319537e-05,0,0
3,0.10475415736436844,0.7909103035926819,0.005085277371108532,0.09925021231174469,1,0
3,0.0013927668333053589,0.2177569419145584,0.0018269516294822097,0.7790234088897705,3,1
3,0.9576430320739746,0.00717624556273222,0.03129413723945618,0.0038867148105055094,0,0
3,0.7066683769226074,0.04042990878224373,0.23521508276462555,0.017686685547232628,0,0
0,0.9997053742408752,2.9768749300274067e-05,0.0002640801831148565,7.608453529428516e-07,0,1
3,0.013488278724253178,0.47599270939826965,0.008103686384856701,0.5024153590202332,3,1
3,0.02565770223736763,0.7745262980461121,0.15287917852401733,0.04693674296140671,1,0
3,0.9632972478866577,0.010408248752355576,0.02594170719385147,0.00035288912476971745,0,0
3,0.005449256859719753,0.9844574332237244,0.001470062299631536,0.008623308502137661,1,0
0,0.9996572732925415,1.3868068435840541e-06,0.000340846658218652,4.695501729656826e-07,0,1
0,0.9999934434890747,1.2858499758294784e-06,5.261281330604106e-06,4.397155350943649e-08,0,1
3,0.37452584505081177,0.35899004340171814,0.014229286462068558,0.252254843711853,0,0
0,0.9998146891593933,9.958496775652748e-06,0.00017516477964818478,1.0487427459793253e-07,0,1
3,0.846829891204834,0.12949001789093018,0.023584038019180298,9.613764268578961e-05,0,0
0,0.9970667958259583,1.295484253205359e-05,0.0029079040978103876,1.2369462638162076e-05,0,1
0,0.9525851607322693,0.0015163723146542907,0.043757058680057526,0.0021414286457002163,0,1
1,0.2773599624633789,0.6614232063293457,0.008531416766345501,0.052685439586639404,1,1
2,0.9987848401069641,0.00020921643590554595,0.0010049794800579548,9.110139558288211e-07,0,0
3,0.003048419486731291,0.9781012535095215,0.002247604075819254,0.01660274714231491,1,0
