y_true,p0,p1,p2,p3,prediction,correct
0,0.9970212578773499,0.0005739813786931336,0.0024010194465517998,3.862258836306864e-06,0,1
3,0.9693800806999207,0.001013340661302209,0.02959550730884075,1.113344569603214e-05,0,0
2,0.97098708152771,0.0010228351457044482,0.027915136888623238,7.491165160899982e-05,0,0
3,0.26727139949798584,0.6693059802055359,0.06162833049893379,0.0017942559206858277,1,0
3,4.269475175533444e-05,0.00984015129506588,0.009473592042922974,0.9806435108184814,3,1
1,0.9995300769805908,3.560023833415471e-05,0.00043426587944850326,1.4766085021378217e-09,0,0
3,0.05131879821419716,0.3232807219028473,0.16300752758979797,0.46239298582077026,3,1
2,0.9990431666374207,2.598420223876019e-06,0.000954087998252362,1.7258449247492536e-07,0,0
1,0.25358372926712036,0.6048285365104675,0.12639546394348145,0.015192323364317417,1,1
0,0.9929906129837036,0.0014351708814501762,0.0055729299783706665,1.281518848372798e-06,0,1
0,0.9843645691871643,0.0011484496062621474,0.012969550676643848,0.0015173631254583597,0,1
0,0.9993446469306946,0.0003073926782235503,0.0003480002924334258,1.8402786849947006e-08,0,1
3,0.11884237825870514,0.0033410140313208103,0.5653794407844543,0.31243717670440674,2,0
1,0.5589993000030518,0.39380526542663574,0.04698999598622322,0.00020541646517813206,0,0
3,0.835593044757843,0.02978411316871643,0.13228434324264526,0.002338420832529664,0,0
0,0.9306929111480713,0.061698559671640396,0.007553321775048971,5.530150519916788e-05,0,1
3,0.0036448154132813215,0.9739708304405212,0.00894014723598957,0.01344416756182909,1,0
2,0.9998416900634766,4.711108704213984e-05,0.00011125397577416152,5.166137295731232e-09,0,0
1,0.5329093933105469,0.23207783699035645,0.2280152589082718,0.006997496820986271,0,0
3,0.0026744564529508352,0.9231658577919006,0.025223614647984505,0.04893598333001137,1,0
3,0.021016117185354233,0.7252005934715271,0.126218780875206,0.1275644451379776,1,0
3,0.0013338990975171328,0.33953657746315,0.05772580951452255,0.6014037728309631,3,1
0,0.9995100498199463,6.761300755897537e-05,0.00042235830915160477,1.502228919036952e-08,0,1
2,0.9936075210571289,0.00018518048455007374,0.0062066540122032166,7.50551521377929e-07,0,0
3,0.003963680937886238,0.0012866611359640956,0.019126901403069496,0.9756227135658264,3,1
3,3.5913781175622717e-05,0.9502063393592834,0.0019195637432858348,0.04783822223544121,1,0
3,0.40892893075942993,0.16169686615467072,0.4003342390060425,0.029039902612566948,0,0
